Fee Description,Amount,Currency,Status,Department,Assessed Date,Payment Date,Invoice
State Building Standards Fee,0.9,USD,PAID,Building,2021-07-06,7/6/21 2:26 PM,
Plan Check Fee,168,USD,PAID,Building,2021-07-06,7/6/21 2:26 PM,
General Plan Update Surcharge,12,USD,PAID,Building,2021-07-06,7/6/21 2:26 PM,
Electrical Permit Fee,235,USD,PAID,Building,2021-07-06,7/6/21 2:26 PM,
Permit Streamlining Surcharge,7,USD,PAID,Planning,2021-07-06,7/6/21 2:26 PM,
State Building Standards Fee - Admin Surcharge,0.1,USD,PAID,Building,2021-07-06,7/6/21 2:26 PM,
Surcharge - Building Technology Fee,9,USD,PAID,Building,2021-07-06,7/6/21 2:26 PM,
Plan Check Fee,168,USD,PAID,Building,2021-08-17,8/17/21 2:55 PM,
Plan Check Fee,168,USD,PAID,Building,2021-10-07,10/7/21 3:42 PM,
Plan Check Fee,168,USD,PAID,Building,2021-11-01,11/1/21 9:46 AM,
Plan Check Fee,168,USD,PAID,Building,2022-02-16,2/16/22 8:22 AM,
